ID,Species,F1,F2,F3,F2/F3,F1/V,Eccentricity
37,BC15,0.21144,0.17483,0.14138,0.13239,0.11447,0.1016
38,BC15,0.15829,0.12995,0.10532,0.10311,0.090477,0.082162
39,BC15,0.16911,0.13711,0.113,0.10803,0.094384,0.085418
40,BC15,0.17684,0.136,0.11719,0.11028,0.096277,0.087632
41,BC15,0.1307,0.10922,0.090933,0.087062,0.077682,0.071037
42,BC15,0.1964,0.15063,0.12434,0.12177,0.10567,0.095911
43,BC15,0.20462,0.15875,0.12094,0.12042,0.10204,0.090411
44,BC15,0.18839,0.14077,0.12888,0.11861,0.10304,0.094213
45,BC15,0.21801,0.16944,0.12912,0.12978,0.11029,0.097857
46,BC15,0.1409,0.11659,0.094173,0.092688,0.082272,0.075112
47,BC15,0.14373,0.11761,0.10021,0.095215,0.084678,0.077792
48,BC15,0.15452,0.12774,0.10444,0.10179,0.090185,0.082363
49,BC15,0.22291,0.1779,0.1203,0.12589,0.10453,0.08923
50,BC15,0.22166,0.18755,0.1469,0.13602,0.11553,0.09904
51,BC15,0.25799,0.19306,0.14976,0.14541,0.12079,0.10461
52,BC15,0.26842,0.20277,0.16965,0.15353,0.12685,0.10943
53,BC15,0.32278,0.24714,0.18695,0.18316,0.15127,0.12991
54,BC15,0.26797,0.19302,0.1631,0.15141,0.12526,0.10965
55,BC15,0.22573,0.18738,0.14646,0.13737,0.11617,0.099835
56,BC15,0.21127,0.16933,0.13793,0.12877,0.10949,0.096545
57,BC15,0.14897,0.12246,0.10534,0.093125,0.080519,0.071245
58,BC15,0.21939,0.15388,0.13903,0.12343,0.10302,0.092338
59,BC15,0.2145,0.16142,0.13537,0.12482,0.10453,0.091937
60,BC15,0.23479,0.17537,0.1469,0.1382,0.11667,0.1039
61,BC15,0.2285,0.17937,0.14951,0.14023,0.12001,0.10642
62,BC15,0.24228,0.17859,0.14213,0.1368,0.1134,0.098911
63,BC15,0.17392,0.14546,0.11395,0.11278,0.098949,0.089789
64,BC15,0.1589,0.1332,0.10096,0.098696,0.084819,0.075183
65,BC15,0.1417,0.11089,0.094482,0.087708,0.075721,0.067858
66,BC15,0.18138,0.1497,0.11107,0.11177,0.096511,0.08554
67,BC15,0.19185,0.15409,0.12778,0.11951,0.10293,0.091252
68,BC15,0.20009,0.15994,0.12544,0.12008,0.10157,0.088614
69,BC15,0.22562,0.17106,0.14104,0.13269,0.11201,0.099029
70,BC15,0.21233,0.16218,0.13573,0.12778,0.10894,0.096566
71,BC15,0.15154,0.12759,0.10029,0.096409,0.083831,0.074363
72,BC15,0.1502,0.1178,0.096623,0.09547,0.083032,0.075793
73,BC15,0.12848,0.10172,0.09146,0.081991,0.071611,0.065329
74,BC15,0.16238,0.12459,0.10458,0.099206,0.084918,0.076258
75,BC15,0.1837,0.13865,0.11509,0.11018,0.094327,0.084201
76,BC15,0.19146,0.14844,0.12896,0.11709,0.10013,0.088789
77,BC15,0.21309,0.16666,0.12895,0.12669,0.10744,0.094039
78,BC15,0.20588,0.16006,0.12905,0.12385,0.1052,0.092957
