ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
427,5,0.073081291,0.198008579,0.226730661,0.072979665,0.005289669,0.015980553,29.33427722,13246,0.042724219,0.964428132,61.21176454,259.7719935,0.235636505
428,5,0.072150462,0.236823651,0.207568088,0.069858461,0.015525963,0.011417939,27.82495962,12421,0.043187022,0.956105308,65.12622288,243.1791254,0.267811733
429,5,0.1038492,0.206783573,0.227757876,0.094347621,0.003824677,0.018523313,34.38484407,13129,0.042472542,0.963025864,64.44490087,253.9668885,0.253753161
430,5,0.072276639,0.200862048,0.227493343,0.07132281,0.003895492,0.019141474,23.22420296,11302,0.045732437,0.960148973,60.04873214,237.6957719,0.252628525
431,5,0.111541104,0.196880707,0.206485168,0.071098835,0.009739294,0.019644261,69.27276119,13372,0.043216048,0.965808175,63.67426886,265.1746035,0.240122048
432,5,0.078899592,0.202708825,0.207962293,0.084675917,0.010426598,0.02255634,22.70066047,13190,0.043695754,0.963379216,65.55710109,260.2016845,0.251947259
433,5,0.088641249,0.241859331,0.240060244,0.069201366,0.012074867,0.019982203,95.49849484,12505,0.042345542,0.954173073,65.43782723,235.7539129,0.277568361
434,5,0.06925737,0.208972365,0.199031544,0.059232046,0.005452565,0.015259581,63.83896828,11604,0.045269218,0.959229301,61.65362176,242.0717679,0.2546915
435,5,0.085124736,0.190670256,0.211267325,0.087405992,0.007356037,0.021781952,71.84278858,13033,0.044831274,0.965417522,63.55639065,263.4076435,0.241285294
436,5,0.109012569,0.222731461,0.229388114,0.104095195,0.003144966,0.020197024,71.08269724,11311,0.045190788,0.957736773,62.0142271,230.1968898,0.26939646
437,5,0.069999304,0.221984031,0.231091566,0.060448839,0.005531872,0.01510798,25.8154234,11554,0.04407149,0.955329869,63.00414946,233.3924869,0.269949347
